Subject_ID	Expected_error	Avg_Qual_Score	Length
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/12/ccs	0.38	41	1427
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/98/ccs	0.13	41	1459
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/107/ccs	0.55	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/115/ccs	0.11	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/119/ccs	0.96	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/138/ccs	0.22	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/150/ccs	0.27	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/171/ccs	0.74	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/193/ccs	0.32	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/201/ccs	0.26	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/206/ccs	0.096	42	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/208/ccs	0.2	41	1474
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/289/ccs	0.33	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/280/ccs	0.3	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/259/ccs	0.54	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/310/ccs	0.12	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/315/ccs	0.62	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/327/ccs	0.6	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/348/ccs	0.29	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/364/ccs	0.38	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/366/ccs	0.096	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/367/ccs	0.47	41	1412
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/386/ccs	0.91	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/392/ccs	0.51	41	1520
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/410/ccs	0.098	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/413/ccs	0.82	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/443/ccs	0.18	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/447/ccs	0.36	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/463/ccs	0.81	41	1441
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/479/ccs	0.46	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/570/ccs	0.14	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/590/ccs	0.19	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/623/ccs	0.18	41	1493
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/605/ccs	0.099	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/643/ccs	0.58	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/648/ccs	0.42	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/656/ccs	0.4	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/683/ccs	0.49	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/711/ccs	0.49	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/714/ccs	0.46	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/715/ccs	1	41	1469
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/720/ccs	0.1	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/729/ccs	0.56	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/735/ccs	0.56	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/778/ccs	0.5	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/821/ccs	0.63	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/823/ccs	0.76	41	1522
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/836/ccs	0.65	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/850/ccs	0.65	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/851/ccs	0.11	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/859/ccs	0.97	41	1522
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/871/ccs	0.16	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/875/ccs	0.91	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/899/ccs	0.097	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/913/ccs	0.17	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/932/ccs	0.35	41	1476
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/933/ccs	0.45	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/963/ccs	0.38	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/968/ccs	0.5	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1040/ccs	0.95	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1052/ccs	0.39	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1076/ccs	0.26	41	1499
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1077/ccs	0.17	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1105/ccs	0.56	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1078/ccs	0.47	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1107/ccs	0.83	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1111/ccs	1.3	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1132/ccs	0.12	41	1499
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1143/ccs	0.22	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1153/ccs	0.46	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1166/ccs	0.53	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1173/ccs	0.094	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1201/ccs	0.1	41	1506
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1239/ccs	1	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1216/ccs	0.82	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1242/ccs	0.49	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1309/ccs	1	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1316/ccs	0.18	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1328/ccs	0.16	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1346/ccs	0.21	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1349/ccs	0.17	41	1462
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1357/ccs	0.42	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1391/ccs	0.28	41	1516
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1420/ccs	0.14	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1479/ccs	0.24	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1465/ccs	0.75	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1491/ccs	0.16	41	1461
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1501/ccs	0.11	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1531/ccs	0.67	41	1444
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1541/ccs	0.2	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1543/ccs	0.099	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1570/ccs	0.43	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1578/ccs	0.65	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1598/ccs	0.4	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1612/ccs	0.11	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1650/ccs	0.36	41	1492
